model,weights,kv,budget,batch,weight_bytes,kv_bytes_per_token,max_length
SmolLM2-135M,bf16,bf16,1 GB,16,269030016,23040,2182
SmolLM2-135M,bf16,bf16,1 GB,64,269030016,23040,545
SmolLM2-135M,bf16,bf16,2 GB,1,269030016,23040,8192
SmolLM2-135M,bf16,bf16,2 GB,4,269030016,23040,8192
SmolLM2-135M,bf16,bf16,2 GB,16,269030016,23040,5095
SmolLM2-135M,bf16,bf16,2 GB,64,269030016,23040,1273
SmolLM2-135M,bf16,bf16,4 GB,1,269030016,23040,8192
SmolLM2-135M,bf16,bf16,4 GB,4,269030016,23040,8192
SmolLM2-135M,bf16,bf16,4 GB,16,269030016,23040,8192
SmolLM2-135M,bf16,bf16,4 GB,64,269030016,23040,2730
SmolLM2-135M,bf16,bf16,8 GB,1,269030016,23040,8192
SmolLM2-135M,bf16,bf16,8 GB,4,269030016,23040,8192
SmolLM2-135M,bf16,bf16,8 GB,16,269030016,23040,8192
SmolLM2-135M,bf16,bf16,8 GB,64,269030016,23040,5642
SmolLM2-135M,bf16,int8,256 MB,1,269030016,11880,0
SmolLM2-135M,bf16,int8,256 MB,4,269030016,11880,0
SmolLM2-135M,bf16,int8,256 MB,16,269030016,11880,0
SmolLM2-135M,bf16,int8,256 MB,64,269030016,11880,0
SmolLM2-135M,bf16,int8,512 MB,1,269030016,11880,8192
SmolLM2-135M,bf16,int8,512 MB,4,269030016,11880,5636
SmolLM2-135M,bf16,int8,512 MB,16,269030016,11880,1409
SmolLM2-135M,bf16,int8,512 MB,64,269030016,11880,352
SmolLM2-135M,bf16,int8,1 GB,1,269030016,11880,8192
SmolLM2-135M,bf16,int8,1 GB,4,269030016,11880,8192
SmolLM2-135M,bf16,int8,1 GB,16,269030016,11880,4233
SmolLM2-135M,bf16,int8,1 GB,64,269030016,11880,1058
SmolLM2-135M,bf16,int8,2 GB,1,269030016,11880,8192
SmolLM2-135M,bf16,int8,2 GB,4,269030016,11880,8192
SmolLM2-135M,bf16,int8,2 GB,16,269030016,11880,8192
SmolLM2-135M,bf16,int8,2 GB,64,269030016,11880,2470
SmolLM2-135M,bf16,int8,4 GB,1,269030016,11880,8192
SmolLM2-135M,bf16,int8,4 GB,4,269030016,11880,8192
SmolLM2-135M,bf16,int8,4 GB,16,269030016,11880,8192
SmolLM2-135M,bf16,int8,4 GB,64,269030016,11880,5295
SmolLM2-135M,bf16,int8,8 GB,1,269030016,11880,8192
SmolLM2-135M,bf16,int8,8 GB,4,269030016,11880,8192
SmolLM2-135M,bf16,int8,8 GB,16,269030016,11880,8192
SmolLM2-135M,bf16,int8,8 GB,64,269030016,11880,8192
SmolLM2-135M,bf16,int4,256 MB,1,269030016,6120,0
SmolLM2-135M,bf16,int4,256 MB,4,269030016,6120,0
SmolLM2-135M,bf16,int4,256 MB,16,269030016,6120,0
SmolLM2-135M,bf16,int4,256 MB,64,269030016,6120,0
SmolLM2-135M,bf16,int4,512 MB,1,269030016,6120,8192
SmolLM2-135M,bf16,int4,512 MB,4,269030016,6120,8192
SmolLM2-135M,bf16,int4,512 MB,16,269030016,6120,2735
SmolLM2-135M,bf16,int4,512 MB,64,269030016,6120,683
SmolLM2-135M,bf16,int4,1 GB,1,269030016,6120,8192
SmolLM2-135M,bf16,int4,1 GB,4,269030016,6120,8192
SmolLM2-135M,bf16,int4,1 GB,16,269030016,6120,8192
SmolLM2-135M,bf16,int4,1 GB,64,269030016,6120,2054
SmolLM2-135M,bf16,int4,2 GB,1,269030016,6120,8192
SmolLM2-135M,bf16,int4,2 GB,4,269030016,6120,8192
SmolLM2-135M,bf16,int4,2 GB,16,269030016,6120,8192
SmolLM2-135M,bf16,int4,2 GB,64,269030016,6120,4795
SmolLM2-135M,bf16,int4,4 GB,1,269030016,6120,8192
SmolLM2-135M,bf16,int4,4 GB,4,269030016,6120,8192
SmolLM2-135M,bf16,int4,4 GB,16,269030016,6120,8192
SmolLM2-135M,bf16,int4,4 GB,64,269030016,6120,8192
SmolLM2-135M,bf16,int4,8 GB,1,269030016,6120,8192
SmolLM2-135M,bf16,int4,8 GB,4,269030016,6120,8192
SmolLM2-135M,bf16,int4,8 GB,16,269030016,6120,8192
SmolLM2-135M,bf16,int4,8 GB,64,269030016,6120,8192
SmolLM2-135M,int8,bf16,256 MB,1,163172736,23040,4568
SmolLM2-135M,int8,bf16,256 MB,4,163172736,23040,1142
SmolLM2-135M,int8,bf16,256 MB,16,163172736,23040,285
SmolLM2-135M,int8,bf16,256 MB,64,163172736,23040,71
SmolLM2-135M,int8,bf16,512 MB,1,163172736,23040,8192
SmolLM2-135M,int8,bf16,512 MB,4,163172736,23040,4054
SmolLM2-135M,int8,bf16,512 MB,16,163172736,23040,1013
SmolLM2-135M,int8,bf16,512 MB,64,163172736,23040,253
SmolLM2-135M,int8,bf16,1 GB,1,163172736,23040,8192
SmolLM2-135M,int8,bf16,1 GB,4,163172736,23040,8192
SmolLM2-135M,int8,bf16,1 GB,16,163172736,23040,2470
SmolLM2-135M,int8,bf16,1 GB,64,163172736,23040,617
SmolLM2-135M,int8,bf16,2 GB,1,163172736,23040,8192
SmolLM2-135M,int8,bf16,2 GB,4,163172736,23040,8192
SmolLM2-135M,int8,bf16,2 GB,16,163172736,23040,5382
SmolLM2-135M,int8,bf16,2 GB,64,163172736,23040,1345
SmolLM2-135M,int8,bf16,4 GB,1,163172736,23040,8192
SmolLM2-135M,int8,bf16,4 GB,4,163172736,23040,8192
SmolLM2-135M,int8,bf16,4 GB,16,163172736,23040,8192
SmolLM2-135M,int8,bf16,4 GB,64,163172736,23040,2802
SmolLM2-135M,int8,bf16,8 GB,1,163172736,23040,8192
SmolLM2-135M,int8,bf16,8 GB,4,163172736,23040,8192
SmolLM2-135M,int8,bf16,8 GB,16,163172736,23040,8192
SmolLM2-135M,int8,bf16,8 GB,64,163172736,23040,5714
SmolLM2-135M,int8,int8,256 MB,1,163172736,11880,8192
SmolLM2-135M,int8,int8,256 MB,4,163172736,11880,2215
SmolLM2-135M,int8,int8,256 MB,16,163172736,11880,553
SmolLM2-135M,int8,int8,256 MB,64,163172736,11880,138
SmolLM2-135M,int8,int8,512 MB,1,163172736,11880,8192
SmolLM2-135M,int8,int8,512 MB,4,163172736,11880,7864
SmolLM2-135M,int8,int8,512 MB,16,163172736,11880,1966
SmolLM2-135M,int8,int8,512 MB,64,163172736,11880,491
SmolLM2-135M,int8,int8,1 GB,1,163172736,11880,8192
SmolLM2-135M,int8,int8,1 GB,4,163172736,11880,8192
SmolLM2-135M,int8,int8,1 GB,16,163172736,11880,4790
SmolLM2-135M,int8,int8,1 GB,64,163172736,11880,1197
SmolLM2-135M,int8,int8,2 GB,1,163172736,11880,8192
SmolLM2-135M,int8,int8,2 GB,4,163172736,11880,8192
SmolLM2-135M,int8,int8,2 GB,16,163172736,11880,8192
SmolLM2-135M,int8,int8,2 GB,64,163172736,11880,2609
SmolLM2-135M,int8,int8,4 GB,1,163172736,11880,8192
SmolLM2-135M,int8,int8,4 GB,4,163172736,11880,8192
SmolLM2-135M,int8,int8,4 GB,16,163172736,11880,8192
SmolLM2-135M,int8,int8,4 GB,64,163172736,11880,5434
SmolLM2-135M,int8,int8,8 GB,1,163172736,11880,8192
SmolLM2-135M,int8,int8,8 GB,4,163172736,11880,8192
SmolLM2-135M,int8,int8,8 GB,16,163172736,11880,8192
SmolLM2-135M,int8,int8,8 GB,64,163172736,11880,8192
SmolLM2-135M,int8,int4,256 MB,1,163172736,6120,8192
