model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
GPT-2,decode,1,4.0,8,256 KB,0.0335,43.3383,43.3383
GPT-2,decode,1,4.0,16,256 KB,0.0335,21.6692,21.6692
GPT-2,decode,1,4.0,32,256 KB,0.0335,10.8346,10.8346
GPT-2,decode,1,4.0,64,256 KB,0.0335,5.4173,5.4173
GPT-2,decode,1,4.0,128,256 KB,0.0335,2.7086,2.7086
GPT-2,decode,1,4.0,256,256 KB,0.0335,1.3543,1.3543
GPT-2,decode,1,4.0,512,256 KB,0.0335,0.6772,0.6772
GPT-2,decode,1,8.0,4,256 KB,0.0167,86.6766,86.6766
GPT-2,decode,1,8.0,8,256 KB,0.0167,43.3383,43.3383
GPT-2,decode,1,8.0,16,256 KB,0.0167,21.6692,21.6692
GPT-2,decode,1,8.0,32,256 KB,0.0167,10.8346,10.8346
GPT-2,decode,1,8.0,64,256 KB,0.0167,5.4173,5.4173
GPT-2,decode,1,8.0,128,256 KB,0.0167,2.7086,2.7086
GPT-2,decode,1,8.0,256,256 KB,0.0167,1.3543,1.3543
GPT-2,decode,1,8.0,512,256 KB,0.0167,0.6772,0.6772
GPT-2,decode,1,16.0,4,256 KB,0.0084,86.6766,86.6766
GPT-2,decode,1,16.0,8,256 KB,0.0084,43.3383,43.3383
GPT-2,decode,1,16.0,16,256 KB,0.0084,21.6692,21.6692
GPT-2,decode,1,16.0,32,256 KB,0.0084,10.8346,10.8346
GPT-2,decode,1,16.0,64,256 KB,0.0084,5.4173,5.4173
GPT-2,decode,1,16.0,128,256 KB,0.0084,2.7086,2.7086
GPT-2,decode,1,16.0,256,256 KB,0.0084,1.3543,1.3543
GPT-2,decode,1,16.0,512,256 KB,0.0084,0.6772,0.6772
GPT-2,decode,1,32.0,4,256 KB,0.0042,86.6766,86.6766
GPT-2,decode,1,32.0,8,256 KB,0.0042,43.3383,43.3383
GPT-2,decode,1,32.0,16,256 KB,0.0042,21.6692,21.6692
GPT-2,decode,1,32.0,32,256 KB,0.0042,10.8346,10.8346
GPT-2,decode,1,32.0,64,256 KB,0.0042,5.4173,5.4173
GPT-2,decode,1,32.0,128,256 KB,0.0042,2.7086,2.7086
GPT-2,decode,1,32.0,256,256 KB,0.0042,1.3543,1.3543
GPT-2,decode,1,32.0,512,256 KB,0.0042,0.6772,0.6772
GPT-2,decode,1,64.0,4,256 KB,0.0021,86.6766,86.6766
GPT-2,decode,1,64.0,8,256 KB,0.0021,43.3383,43.3383
GPT-2,decode,1,64.0,16,256 KB,0.0021,21.6692,21.6692
GPT-2,decode,1,64.0,32,256 KB,0.0021,10.8346,10.8346
GPT-2,decode,1,64.0,64,256 KB,0.0021,5.4173,5.4173
GPT-2,decode,1,64.0,128,256 KB,0.0021,2.7086,2.7086
GPT-2,decode,1,64.0,256,256 KB,0.0021,1.3543,1.3543
GPT-2,decode,1,64.0,512,256 KB,0.0021,0.6772,0.6772
GPT-2,decode,1,0.5,4,1 MB,0.2679,86.5902,86.5902
GPT-2,decode,1,0.5,8,1 MB,0.2679,43.2951,43.2951
GPT-2,decode,1,0.5,16,1 MB,0.2679,21.6476,21.6476
GPT-2,decode,1,0.5,32,1 MB,0.2679,10.8238,10.8238
GPT-2,decode,1,0.5,64,1 MB,0.2679,5.4119,5.4119
GPT-2,decode,1,0.5,128,1 MB,0.2679,2.7059,2.7059
